Canal,Treatment,Transect,Substrate,Bottle,Event,Date,Biomass_per_Area,TSS.mgmL,Ext.Coeff,PAR.30da,AQI.30da,PM.30da,SpC.uS.cm.,pH,Temp.30da,o.Phosphate.ug.L.PW,Ammonium.mg.L.PW,Fluoride.ppb.PW,Nitrite.ppb.PW,Bromide.ppb.PW,Nitrate.ppb.PW,TDC.mg.L.PW,DOC.mg.L.PW,TDN.ug.L.PW,o.Phosphate.ug.L.SW,Ammonium.mg.L.SW,Fluoride.ppb.SW,Nitrite.ppb.SW,Bromide.ppb.SW,Nitrate.ppb.SW,TDC.mg.L.SW,DOC.mg.L.SW,TDN.ug.L.SW,Flow.cms.30da,Sed.Bulk.Density.g.mL.,Sed.PercentOM,Sed.pH,GPP.mg.per.g.per.hr,CR.mg.per.g.per.hr,WinklerTotalSed.g,WinklerSedOM.g,WinklerSedPerOM
A,C,1,Plant,74A,1,6/7/2021,7.947178356,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,1.8346,1.13,7.29,0,1.704582938,NA,NA,NA
A,C,1,Plant,74B,1,6/7/2021,7.947178356,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,1.8346,1.13,7.29,2.080389151,1.32607355,NA,NA,NA
A,C,1,Plant,74C,1,6/7/2021,7.947178356,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,1.8346,1.13,7.29,5.794295505,2.231134096,NA,NA,NA
A,C,1,Sed,148A,3,8/10/2021,0,0.057808219,0.0455,630.4937558,77.63333333,46.69633333,380.4,8.03,23.81792718,31.2085,0.050344035,98.34931509,5,5,238.1818182,NA,NA,NA,22.205,0.027995269,362,5,44.77777778,83.09090909,27.15604496,16.43454848,415.1904762,4.491551738,1.8978,0.61,7.59,NA,1.103181029,65.79,0.26,0.395196838
A,C,1,Sed,148B,3,8/10/2021,0,0.057808219,0.0455,630.4937558,77.63333333,46.69633333,380.4,8.03,23.81792718,31.2085,0.050344035,98.34931509,5,5,238.1818182,NA,NA,NA,22.205,0.027995269,362,5,44.77777778,83.09090909,27.15604496,16.43454848,415.1904762,4.491551738,1.8978,0.61,7.59,NA,1.05691866,67.93,0.25,0.368025909
A,C,1,Sed,148C,3,8/10/2021,0,0.057808219,0.0455,630.4937558,77.63333333,46.69633333,380.4,8.03,23.81792718,31.2085,0.050344035,98.34931509,5,5,238.1818182,NA,NA,NA,22.205,0.027995269,362,5,44.77777778,83.09090909,27.15604496,16.43454848,415.1904762,4.491551738,1.8978,0.61,7.59,NA,1.053281912,65.44,0.24,0.366748166
A,C,1,Sed,55A,1,6/7/2021,7.947178356,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,1.8346,1.13,7.29,NA,0.304294041,56.17,0.57,1.014776571
A,C,1,Sed,55B,1,6/7/2021,7.947178356,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,1.8346,1.13,7.29,NA,0.413651461,45.79,0.46,1.004586154
A,C,1,Sed,55C,1,6/7/2021,7.947178356,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,1.8346,1.13,7.29,NA,0.607605263,55.02,0.57,1.035986914
A,C,2,Plant,122A,2,7/6/2021,2.786946158,0.006911765,0.0278,705.6437839,49.3,4.147666667,360,8.06,20.73907909,33.322,0.072834397,110.1917808,5,5,219.0227273,3.533294355,2.501174897,297.6507937,NA,0.045533306,276.0410959,48.83870968,40.33333333,215.3181818,25.52705775,15.06383604,518.047619,3.67690166,2.0314,0.47,7.74,0,1.441751142,NA,NA,NA
