Canal,Event,Treatment,Transect,Date,Biomass_per_Area,TSS.mgmL,Ext.Coeff,PAR.30da,AQI.30da,PM.30da,SpC.uS.cm.,pH,Temp.30da,o.Phosphate.ug.L.PW,Ammonium.mg.L.PW,Fluoride.ppb.PW,Nitrite.ppb.PW,Bromide.ppb.PW,Nitrate.ppb.PW,TDC.mg.L.PW,DOC.mg.L.PW,TDN.ug.L.PW,o.Phosphate.ug.L.SW,Ammonium.mg.L.SW,Fluoride.ppb.SW,Nitrite.ppb.SW,Bromide.ppb.SW,Nitrate.ppb.SW,TDC.mg.L.SW,DOC.mg.L.SW,TDN.ug.L.SW,Flow.cms.30da,Sed.Bulk.Density.g.mL.,Sed.PercentOM,Sed.pH,Curly.Leaf.Pondweed,Ditchgrass,Elodea,Filamentous.Algae,Nitella,Milfoil,SDI
A,1,C,1,6/7/2021,7.947178356,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,1.8346,1.13,7.29,NA,NA,NA,NA,NA,NA,NA
A,1,C,2,6/7/2021,8.07161013,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,C,3,6/7/2021,8.619080873,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,2.0542,0.51,7.43,0,8.15614339,0.000506088,0.462431395,0,0,0.20975877
A,1,C,4,6/7/2021,6.831081765,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,NA,NA,NA,0,6.21804147,0,0.613040295,0,0,0.301942315
A,1,C,5,6/7/2021,8.133354364,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,1.9722,0.45,7.24,0,8.11275584,0,0.020598524,0,0,0.017670555
A,1,T,6,6/7/2021,3.29879229,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,1.9898,0.45,6.45,NA,NA,NA,NA,NA,NA,NA
A,1,T,7,6/7/2021,2.40155636,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,NA,NA,NA,0,2.320696554,0,0.080859806,0,0,0.147275816
A,1,T,8,6/7/2021,1.626559525,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,T,9,6/7/2021,6.415912815,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,1.9028,0.79,7.11,0,6.388147012,0,0.027765803,0,0,0.027872486
A,1,T,10,6/7/2021,7.886804789,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,1.9292,0.84,7.25,NA,NA,NA,NA,NA,NA,NA
