"","Variable","Chi_Squared","df","p_value_formatted","p_adj_BH","Significance"
"1","TDC.mg.L.PW",6.25,2,"0.0439",0.457606695341146,"*"
"2","pct_OM",5.6,2,"0.0608",0.457606695341146,"ns"
"3","DOC.mg.L.PW",5.3611,2,"0.0685",0.457606695341146,"ns"
"4","Ammonium.mg.L.SW",4.5556,2,"0.1025",0.457606695341146,"ns"
"5","Bulk_Density_g_mL",4.3556,2,"0.1133",0.457606695341146,"ns"
"6","sed_pH",4.2667,2,"0.1184",0.457606695341146,"ns"
"7","o.Phosphate.ug.L.PW",4.0278,2,"0.1335",0.457606695341146,"ns"
"8","TDN.ug.L.PW",2.8889,2,"0.2359",0.7076312489571,"ns"
"9","Nitrate.ppb.PW",2.381,2,"0.3041",0.786481441737196,"ns"
"10","Nitrate.ppb.SW",2.0278,2,"0.3628",0.786481441737196,"ns"
"11","DOC.mg.L.SW",1.8667,2,"0.3932",0.786481441737196,"ns"
"12","Flow.cms.30da",1.8667,2,"0.3932",0.786481441737196,"ns"
"13","TDN.ug.L.SW",1.6889,2,"0.4298",0.793469663057568,"ns"
"14","Ammonium.mg.L.PW",1.4222,2,"0.4911",0.837128431360764,"ns"
"15","pH",0.6222,2,"0.7326",0.837128431360764,"ns"
"16","TDC.mg.L.SW",0.6222,2,"0.7326",0.837128431360764,"ns"
"17","PAR.30da",0.6222,2,"0.7326",0.837128431360764,"ns"
"18","PM.30da",0.6222,2,"0.7326",0.837128431360764,"ns"
"19","Temp.30da",0.6222,2,"0.7326",0.837128431360764,"ns"
"20","TSS_mgmL",0.6222,2,"0.7326",0.837128431360764,"ns"
"21","o.Phosphate.ug.L.SW",0.4722,2,"0.7897",0.837128431360764,"ns"
"22","Light_ext_coeff",0.4722,2,"0.7897",0.837128431360764,"ns"
"23","AQI.30da",0.4258,2,"0.8082",0.837128431360764,"ns"
"24","SpC..uS.cm.",0.3556,2,"0.8371",0.837128431360764,"ns"
