"","Variable","Chi_Squared","df","p_value_formatted","p_adj_BH","Significance"
"1","SpC..uS.cm.",7.2,2,"0.0273",0.109640118546969,"*"
"2","TDC.mg.L.SW",7.2,2,"0.0273",0.109640118546969,"*"
"3","PM.30da",7.2,2,"0.0273",0.109640118546969,"*"
"4","Temp.30da",7.2,2,"0.0273",0.109640118546969,"*"
"5","AQI.30da",6.8796,2,"0.0321",0.109640118546969,"*"
"6","TSS_mgmL",6.4889,2,"0.0390",0.109640118546969,"*"
"7","o.Phosphate.ug.L.SW",6.25,2,"0.0439",0.109640118546969,"*"
"8","Light_ext_coeff",6.25,2,"0.0439",0.109640118546969,"*"
"9","DOC.mg.L.SW",5.9556,2,"0.0509",0.109640118546969,"ns"
"10","Flow.cms.30da",5.9556,2,"0.0509",0.109640118546969,"ns"
"11","pH",5.6,2,"0.0608",0.109640118546969,"ns"
"12","PAR.30da",5.6,2,"0.0608",0.109640118546969,"ns"
"13","Ammonium.mg.L.PW",5.4222,2,"0.0665",0.109640118546969,"ns"
"14","TDN.ug.L.SW",5.4222,2,"0.0665",0.109640118546969,"ns"
"15","Nitrate.ppb.SW",5.3611,2,"0.0685",0.109640118546969,"ns"
"16","TDN.ug.L.PW",4.5556,2,"0.1025",0.153767636540191,"ns"
"17","Ammonium.mg.L.SW",3.1389,2,"0.2082",0.293874063706687,"ns"
"18","Nitrate.ppb.PW",2.381,2,"0.3041",0.405435241713111,"ns"
"19","DOC.mg.L.PW",2,2,"0.3679",0.464689820427085,"ns"
"20","sed_pH",1.8667,2,"0.3932",0.471888865042318,"ns"
"21","TDC.mg.L.PW",1.4444,2,"0.4857",0.555053468854529,"ns"
"22","Bulk_Density_g_mL",0.8,2,"0.6703",0.731258232038879,"ns"
"23","pct_OM",0.3556,2,"0.8371",0.873525319680797,"ns"
"24","o.Phosphate.ug.L.PW",0.2222,2,"0.8948",0.89483931681437,"ns"
