Event,Date,Time,Canal,Treatment,Transect,Cross-Sectional Area (m^2),Discharge (cms),Distance Along Bottom (m),Area Along Bottom (m^3)
1,5/24/2021,8:20,DRL,NA,NA,8.430768,2.28575616,NA,NA
1,5/24/2021,17:15,DRL,NA,NA,7.808976,1.48885656,NA,NA
1,5/24/2021,NA,DRL,NA,10,12.09,NA,12.10495743,4.84258822
1,5/24/2021,8:51,DRL,NA,9,12.65875,NA,12.37544893,4.950798344
1,5/24/2021,9:13,DRL,NA,8,14.3475,NA,12.2947717,4.918523419
1,5/24/2021,9:33,DRL,NA,7,12.7075,NA,12.48566972,4.994892171
1,5/24/2021,9:52,DRL,NA,6,12.57,NA,12.18919104,4.876285876
1,5/24/2021,10:07,DRL,NA,5,11.72,NA,12.60468693,5.042505006
1,5/24/2021,10:31,DRL,NA,4,14.97,NA,13.8685566,5.548116068
1,5/24/2021,10:50,DRL,NA,3,13.59,NA,13.5986065,5.44012253
1,5/24/2021,11:09,DRL,NA,2,11.27,NA,12.56600267,5.027029368
1,5/24/2021,11:18,DRL,NA,1,11.88,1.7105,13.63386973,5.454229585
2,6/21/2021,7:45,DRL,NA,NA,10.33272,5.01127776,NA,NA
2,6/21/2021,8:11,DRL,NA,10,15.4,NA,12.15310614,4.861850111
2,6/21/2021,8:45,DRL,NA,9,19.8025,NA,14.12944974,5.652486368
2,6/21/2021,9:17,DRL,NA,8,20.055,NA,15.03631196,6.0152766
2,6/21/2021,9:29,DRL,NA,7,18.0475,NA,13.70791851,5.4838528
2,6/21/2021,9:48,DRL,NA,6,17.15,NA,12.66056595,5.064859408
2,6/21/2021,10:00,DRL,NA,5,16.15,NA,13.12595061,5.251036542
2,6/21/2021,10:14,DRL,NA,4,15.98,NA,13.41965918,5.368534655
2,6/21/2021,10:42,DRL,NA,3,19.17,NA,14.0985821,5.640137769
2,6/21/2021,11:06,DRL,NA,2,17.3975,NA,13.64422967,5.458374079
2,6/21/2021,11:25,DRL,NA,1,19.45,NA,15.0217469,6.009449847
3,7/27/2021,7:52,DRL,NA,NA,10.405872,6.85476912,NA,NA
3,7/27/2021,8:32,DRL,NA,10,14.0225,NA,11.53919525,4.61625506
3,7/27/2021,8:42,DRL,NA,9,13.7175,NA,11.71799431,4.687783624
3,7/27/2021,9:06,DRL,NA,8,17.52,NA,13.87125163,5.549194215
