"","Biomass_per_Area","SDI","WholeCanalGPP","WholeCanalER","SpC..uS.cm.","pH","o.Phosphate.ug.L.SW","Ammonium.mg.L.SW","Nitrate.ppb.SW","TDC.mg.L.SW","DOC.mg.L.SW","TDN.ug.L.SW"
"Biomass_per_Area",1,0.142857142857143,-0.0476190476190476,-0.238095238095238,0.428571428571429,-0.785714285714286,0.333333333333333,0.333333333333333,0.619047619047619,0.357142857142857,0.142857142857143,0.5
"SDI",0.142857142857143,1,0.714285714285714,-0.80952380952381,0.428571428571429,-0.0714285714285714,0.428571428571429,-0.333333333333333,0.238095238095238,0.214285714285714,0,0.357142857142857
"WholeCanalGPP",-0.0476190476190476,0.714285714285714,1,-0.523809523809524,0.142857142857143,0.0476190476190476,0.2,-0.733333333333333,0.333333333333333,-0.0476190476190476,-0.333333333333333,0.0476190476190476
"WholeCanalER",-0.238095238095238,-0.80952380952381,-0.523809523809524,1,-0.619047619047619,0.238095238095238,-0.733333333333333,0.2,-0.2,-0.428571428571429,-0.142857142857143,-0.523809523809524
"SpC..uS.cm.",0.428571428571429,0.428571428571429,0.142857142857143,-0.619047619047619,1,-0.357142857142857,0.80952380952381,0.428571428571429,0.523809523809524,0.785714285714286,0.571428571428571,0.785714285714286
"pH",-0.785714285714286,-0.0714285714285714,0.0476190476190476,0.238095238095238,-0.357142857142857,1,-0.619047619047619,-0.523809523809524,-0.619047619047619,-0.571428571428571,-0.357142857142857,-0.571428571428571
"o.Phosphate.ug.L.SW",0.333333333333333,0.428571428571429,0.2,-0.733333333333333,0.80952380952381,-0.619047619047619,1,0.6,0.6,0.904761904761905,0.619047619047619,0.80952380952381
"Ammonium.mg.L.SW",0.333333333333333,-0.333333333333333,-0.733333333333333,0.2,0.428571428571429,-0.523809523809524,0.6,1,0.333333333333333,0.619047619047619,0.904761904761905,0.523809523809524
"Nitrate.ppb.SW",0.619047619047619,0.238095238095238,0.333333333333333,-0.2,0.523809523809524,-0.619047619047619,0.6,0.333333333333333,1,0.428571428571429,0.142857142857143,0.714285714285714
"TDC.mg.L.SW",0.357142857142857,0.214285714285714,-0.0476190476190476,-0.428571428571429,0.785714285714286,-0.571428571428571,0.904761904761905,0.619047619047619,0.428571428571429,1,0.785714285714286,0.714285714285714
"DOC.mg.L.SW",0.142857142857143,0,-0.333333333333333,-0.142857142857143,0.571428571428571,-0.357142857142857,0.619047619047619,0.904761904761905,0.142857142857143,0.785714285714286,1,0.5
"TDN.ug.L.SW",0.5,0.357142857142857,0.0476190476190476,-0.523809523809524,0.785714285714286,-0.571428571428571,0.80952380952381,0.523809523809524,0.714285714285714,0.714285714285714,0.5,1
