"","Biomass_per_Area","SDI","WholeCanalGPP","WholeCanalER","o.Phosphate.ug.L.PW","Ammonium.mg.L.PW","Nitrate.ppb.PW","TDC.mg.L.PW","DOC.mg.L.PW","TDN.ug.L.PW","sed_pH"
"Biomass_per_Area",1,0.142857142857143,-0.0476190476190476,-0.238095238095238,0.238095238095238,0.428571428571429,0.4,0.0714285714285714,0.142857142857143,0.285714285714286,0.0714285714285714
"SDI",0.142857142857143,1,0.714285714285714,-0.80952380952381,-0.238095238095238,0.571428571428571,0.2,0.928571428571429,0.857142857142857,0.714285714285714,0.785714285714286
"WholeCanalGPP",-0.0476190476190476,0.714285714285714,1,-0.523809523809524,-0.733333333333333,0.333333333333333,0.4,0.80952380952381,0.714285714285714,0.428571428571429,0.904761904761905
"WholeCanalER",-0.238095238095238,-0.80952380952381,-0.523809523809524,1,0.733333333333333,-0.80952380952381,0,-0.714285714285714,-0.80952380952381,-0.904761904761905,-0.619047619047619
"o.Phosphate.ug.L.PW",0.238095238095238,-0.238095238095238,-0.733333333333333,0.733333333333333,1,-0.238095238095238,-0.2,-0.333333333333333,-0.428571428571429,-0.428571428571429,-0.333333333333333
"Ammonium.mg.L.PW",0.428571428571429,0.571428571428571,0.333333333333333,-0.80952380952381,-0.238095238095238,1,-0.2,0.5,0.571428571428571,0.857142857142857,0.357142857142857
"Nitrate.ppb.PW",0.4,0.2,0.4,0,-0.2,-0.2,1,0.2,0.2,-0.2,0.2
"TDC.mg.L.PW",0.0714285714285714,0.928571428571429,0.80952380952381,-0.714285714285714,-0.333333333333333,0.5,0.2,1,0.928571428571429,0.642857142857143,0.857142857142857
"DOC.mg.L.PW",0.142857142857143,0.857142857142857,0.714285714285714,-0.80952380952381,-0.428571428571429,0.571428571428571,0.2,0.928571428571429,1,0.714285714285714,0.785714285714286
"TDN.ug.L.PW",0.285714285714286,0.714285714285714,0.428571428571429,-0.904761904761905,-0.428571428571429,0.857142857142857,-0.2,0.642857142857143,0.714285714285714,1,0.5
"sed_pH",0.0714285714285714,0.785714285714286,0.904761904761905,-0.619047619047619,-0.333333333333333,0.357142857142857,0.2,0.857142857142857,0.785714285714286,0.5,1
