Event,Canal,Plant_Type,Date,Biomass_per_Area
1,A,Curly Leaf Pondweed,6/7/2021,0.001428494
1,A,Ditchgrass,6/7/2021,7.70769923
1,A,Elodea,6/7/2021,0.009532762
1,A,Filamentous Algae,6/7/2021,0.15076554
1,UL,Curly Leaf Pondweed,5/24/2021,0.022852979
1,UL,Ditchgrass,5/24/2021,3.852175789
1,UL,Elodea,5/24/2021,0.093435203
1,UL,Filamentous Algae,5/24/2021,0.012938049
1,DL,Curly Leaf Pondweed,6/1/2021,0.084500362
1,DL,Ditchgrass,6/1/2021,6.419210661
1,DL,Elodea,6/1/2021,0.667086148
1,DL,Filamentous Algae,6/1/2021,2.535591944
2,A,Curly Leaf Pondweed,7/6/2021,0.230182944
2,A,Ditchgrass,7/6/2021,13.58709952
2,A,Elodea,7/6/2021,0.057053375
2,A,Filamentous Algae,7/6/2021,0.019347766
2,A,Nitella,7/6/2021,0.008443374
2,UL,Curly Leaf Pondweed,6/21/2021,0.020524888
2,UL,Ditchgrass,6/21/2021,10.08657292
2,UL,Elodea,6/21/2021,0.261080949
2,UL,Filamentous Algae,6/21/2021,0.575706216
2,DL,Curly Leaf Pondweed,6/29/2021,0.03293859
2,DL,Ditchgrass,6/29/2021,8.758799701
2,DL,Elodea,6/29/2021,1.911061155
2,DL,Filamentous Algae,6/29/2021,6.010196723
3,UL,Ditchgrass,7/27/2021,6.992980026
3,UL,Elodea,7/27/2021,0.651934694
3,UL,Filamentous Algae,7/27/2021,0.013976604
3,UL,Nitella,7/27/2021,0.162352387
3,UL,Milfoil,7/27/2021,0.00485047
3,DL,Ditchgrass,8/2/2021,2.060205291
3,DL,Elodea,8/2/2021,4.177709468
3,DL,Filamentous Algae,8/2/2021,0.811466317
3,DL,Nitella,8/2/2021,0.155961022
3,DL,Milfoil,8/2/2021,0.000813552
