"","Modnames","K","AIC","Delta_AIC","ModelLik","AICWt","LL","Cum.Wt"
"12","PW TDC_BulkDens",8,-71.7714327171418,0,1,0.996154624990614,43.8857163585709,0.996154624990614
"9","Temp_BulkDens",8,-60.6563444334614,11.1150882836805,0.00385824006248457,0.00384340368256808,38.3281722167307,0.999998028673182
"6","Temp_PW TDC",8,-45.5054035605298,26.2660291566121,1.97881064456141e-06,1.9712013755605e-06,30.7527017802649,0.999999999874557
"14","PW_TDN_BulkDens",8,-25.5412107221675,46.2302219949744,9.14607682865667e-11,9.11090673338583e-11,20.7706053610837,0.999999999965666
"7","Temp_PW TDN",8,-21.7129597145758,50.058473002566,1.34877870718314e-11,1.34359214724935e-11,18.8564798572879,0.999999999979102
"1","Temp",7,-21.5418120298997,50.2296206872421,1.23815909947551e-11,1.23339791341674e-11,17.7709060149499,0.999999999991436
"8","Temp_Sed OM",8,-19.5503360400779,52.221096677064,4.57438735093531e-12,4.55679711613277e-12,17.7751680200389,0.999999999995993
"5","BulkDens",7,-18.4926204450713,53.2788122720706,2.69558427338533e-12,2.68521874098476e-12,16.2463102225356,0.999999999998678
"15","Sed OM_BulkDens",8,-16.6704632049506,55.1009695121912,1.08386825519448e-12,1.07970037529248e-12,16.3352316024753,0.999999999999758
"13","PW_TDN_Sed OM",8,-12.0922719639063,59.6791607532356,1.09858812461391e-13,1.09436364129392e-13,14.0461359819531,0.999999999999868
"3","PW TDN",7,-11.3648371498013,60.4065955673406,7.63614976162396e-14,7.60678590216268e-14,12.6824185749006,0.999999999999944
"10","PW TDC_PW TDN",8,-10.0494290135973,61.7220037035446,3.95582608375772e-14,3.94061444899376e-14,13.0247145067986,0.999999999999983
"2","PW TDC",7,-6.95066759699831,64.8207651201435,8.40136199391943e-15,8.3690556064632e-15,10.4753337984992,0.999999999999991
"4","Sed OM",7,-6.15061280434098,65.6208199128009,5.6314470754378e-15,5.60979204958723e-15,10.0753064021705,0.999999999999997
"11","PW TDC_Sed OM",8,-4.95565543331957,66.8157772838223,3.09840589868111e-15,3.08649136606939e-15,10.4778277166598,1
