Event,Canal,Treatment,Date,Transect,Wet Density (g/mL),%OM,Sed pH
1,DRL,NA,5/24/2021,2,1.6618,1.75,7.16
1,DRL,NA,5/24/2021,6,1.7162,1.25,7.3
1,DRL,NA,5/24/2021,3,1.6348,1.71,6.66
1,DRL,NA,5/24/2021,7,1.8018,0.94,6.95
1,DRL,NA,5/24/2021,4,1.535,1.46,7.2
1,DRL,NA,5/24/2021,5,1.709,1.43,7.27
2,DRL,NA,6/21/2021,3,1.5074,3.93,6.98
2,DRL,NA,6/21/2021,8,1.9576,0.48,7.26
2,DRL,NA,6/21/2021,9,1.9696,1.06,7.4
2,DRL,NA,6/21/2021,6,1.8734,1.17,6.92
2,DRL,NA,6/21/2021,1,1.8396,1.34,7.22
2,DRL,NA,6/21/2021,2,2.0352,1.01,7.63
3,DRL,NA,7/27/2021,10,1.928,0.73,7.5
3,DRL,NA,7/27/2021,8,1.8338,0.59,7.27
3,DRL,NA,7/27/2021,6,1.2902,6.01,7.28
3,DRL,NA,7/27/2021,5,1.6944,1.93,6.63
3,DRL,NA,7/27/2021,2,2.03,0.97,7.63
3,DRL,NA,7/27/2021,1,1.7872,1.32,6.88
1,MSL,NA,6/1/2021,5,1.411,7.55,6.83
1,MSL,NA,6/1/2021,6,1.7874,2.25,7.27
1,MSL,NA,6/1/2021,2,1.7478,1.79,7.2
1,MSL,NA,6/1/2021,7,1.8412,0.99,7.4
1,MSL,NA,6/1/2021,8,1.7536,1.29,7.06
1,MSL,NA,6/1/2021,3,1.9242,0.42,7.68
2,MSL,NA,6/29/2021,8,1.707,1.01,7.59
2,MSL,NA,6/29/2021,6,1.6884,2.2,7.13
2,MSL,NA,6/29/2021,1,1.6422,1.36,7.7
2,MSL,NA,6/29/2021,4,1.6812,0.87,6.96
2,MSL,NA,6/29/2021,2,1.8394,0.86,7.87
2,MSL,NA,6/29/2021,9,1.672,1.6,7.08
3,MSL,NA,8/2/2021,6,1.6884,1.9,7.25
3,MSL,NA,8/2/2021,7,1.3632,4.66,6.92
3,MSL,NA,8/2/2021,4,1.9134,0.41,7.51
3,MSL,NA,8/2/2021,2,1.8016,0.84,7.92
3,MSL,NA,8/2/2021,3,1.7826,1.01,7.96
3,MSL,NA,8/2/2021,10,1.2772,5.2,7.05
1,A,T,6/7/2021,6,1.9898,0.45,6.45
1,A,T,6/7/2021,9,1.9028,0.79,7.11
1,A,T,6/7/2021,10,1.9292,0.84,7.25
1,A,C,6/7/2021,3,2.0542,0.51,7.43
1,A,C,6/7/2021,1,1.8346,1.13,7.29
1,A,C,6/7/2021,5,1.9722,0.45,7.24
2,A,T,7/6/2021,7,1.763,1.59,6.14
2,A,T,7/6/2021,10,1.5412,2.91,6.66
2,A,T,7/6/2021,8,1.8222,1.37,7.3
2,A,C,7/6/2021,1,1.9344,0.47,7.52
2,A,C,7/6/2021,3,1.9298,0.8,7.12
2,A,C,7/6/2021,2,2.0314,0.47,7.74
3,A,T,8/10/2021,9,1.8102,1.36,7.1
3,A,T,8/10/2021,8,1.8734,0.79,7.45
3,A,T,8/10/2021,7,1.7188,1.38,6.93
3,A,C,8/10/2021,5,1.895,0.6,7.46
3,A,C,8/10/2021,3,1.7872,0.55,7.46
3,A,C,8/10/2021,1,1.8978,0.61,7.59
