Date,GPP2.5,GPP50,GPP97.5,ER2.5,ER50,ER97.5,rmse,Canal
4/24/2021,6.176676,7.005467,7.390863,-8.975167,-8.355916,-7.011283,0.1936024,A
4/26/2021,2.69937,3.651475,4.324874,-5.185001,-4.226074,-2.855165,0.2422838,A
6/1/2021,9.845239,12.176511,13.461181,-7.966515,-6.730876,-5.267775,0.3330975,A
6/30/2021,6.695417,6.791133,6.886067,-10.87886,-10.6625,-10.42056,0.1396737,A
7/1/2021,6.65606,6.776849,6.901639,-11.09654,-10.80917,-10.50445,0.169288,A
6/16/2021,9.727975,10.263571,10.678464,-17.21433,-16.80442,-16.25158,0.1843848,UL
6/17/2021,12.93909,13.30605,13.72481,-22.31482,-21.92806,-21.56248,0.179671,UL
6/29/2021,13.55952,14.3307,14.89703,-26.89497,-26.16334,-25.19065,0.04799099,UL
6/30/2021,11.25423,11.84132,12.21145,-24.86372,-24.42453,-23.58531,0.05208515,UL
7/1/2021,11.38266,11.56072,11.82428,-23.48413,-23.17352,-22.95414,0.09677042,UL
7/13/2021,7.710595,8.471512,8.962905,-24.79899,-24.10721,-22.73057,0.1478681,UL
7/14/2021,10.33717,10.58301,10.80278,-26.96324,-26.61814,-26.23075,0.08459828,UL
7/15/2021,9.694042,10.005717,10.326666,-27.10841,-26.59627,-26.05345,0.1080738,UL
4/8/2021,4.019904,4.308255,4.89083,-6.319048,-5.542917,-5.164559,0.4583422,DL
4/9/2021,4.727803,5.293517,5.745056,-6.895284,-6.292003,-5.630282,0.4671345,DL
4/10/2021,6.698645,7.113651,7.466477,-9.525411,-9.087347,-8.534449,0.1760913,DL
4/24/2021,12.16256,15.07164,15.91817,-17.07907,-16.15339,-12.95052,0.262684,DL
4/25/2021,5.782992,6.019501,6.288289,-8.648591,-8.26357,-7.933159,0.2255304,DL
5/18/2021,21.6715,22.27808,22.87683,-16.5341,-16.05129,-15.53427,0.274538,DL
5/19/2021,21.00349,22.85372,24.3202,-18.93802,-17.68886,-16.23796,0.2560236,DL
6/3/2021,19.79679,25.85445,28.4822,-26.71848,-23.94412,-18.61664,0.534106,DL
6/17/2021,24.21622,28.86471,29.6348,-28.25636,-27.48983,-22.59835,NA,DL
6/29/2021,19.02149,19.40697,19.89013,-25.65833,-25.09219,-24.61471,0.5082994,DL
6/30/2021,16.91569,20.36885,21.01907,-30.01789,-29.10502,-24.75366,0.6595351,DL
7/1/2021,14.83497,23.47263,24.46204,-39.25303,-38.12493,-27.37701,0.2622039,DL
