Date,Canal,GPP2.5,GPP50,GPP97.5,ER2.5,ER50,ER97.5,Temp,PAR
4/8/2021,DL,4.019904,4.308255,4.89083,-6.319048,-5.542917,-5.164559,11.25294097,597.3444359
4/9/2021,DL,4.727803,5.293517,5.745056,-6.895284,-6.292003,-5.630282,11.93088542,604.31861
4/10/2021,DL,6.698645,7.113651,7.466477,-9.525411,-9.087347,-8.534449,12.28954514,608.5260866
4/24/2021,A,6.176676,7.005467,7.390863,-8.975167,-8.355916,-7.011283,12.76020486,451.6376025
4/24/2021,DL,12.16256,15.07164,15.91817,-17.07907,-16.15339,-12.95052,13.40926389,451.6376025
4/25/2021,DL,5.782992,6.019501,6.288289,-8.648591,-8.26357,-7.933159,12.64990278,493.0288417
4/26/2021,A,2.69937,3.651475,4.324874,-5.185001,-4.226074,-2.855165,11.65846181,526.9893708
5/18/2021,DL,21.6715,22.27808,22.87683,-16.5341,-16.05129,-15.53427,16.94344097,701.2610127
5/19/2021,DL,21.00349,22.85372,24.3202,-18.93802,-17.68886,-16.23796,17.04122569,707.7442983
6/1/2021,A,9.845239,12.176511,13.461181,-7.966515,-6.730876,-5.267775,18.57362153,716.8693793
6/3/2021,DL,19.79679,25.85445,28.4822,-26.71848,-23.94412,-18.61664,19.88078125,663.5809005
6/16/2021,UL,9.727975,10.263571,10.678464,-17.21433,-16.80442,-16.25158,20.03253125,721.2518775
6/17/2021,DL,24.21622,28.86471,29.6348,-28.25636,-27.48983,-22.59835,20.80864931,684.8084553
6/17/2021,UL,12.93909,13.30605,13.72481,-22.31482,-21.92806,-21.56248,20.47157292,684.8084553
6/29/2021,DL,19.02149,19.40697,19.89013,-25.65833,-25.09219,-24.61471,22.62668403,712.3202275
6/29/2021,UL,13.55952,14.3307,14.89703,-26.89497,-26.16334,-25.19065,22.12343056,712.3202275
6/30/2021,A,6.695417,6.791133,6.886067,-10.87886,-10.6625,-10.42056,21.79829167,701.9475342
6/30/2021,DL,16.91569,20.36885,21.01907,-30.01789,-29.10502,-24.75366,22.34702431,701.9475342
6/30/2021,UL,11.25423,11.84132,12.21145,-24.86372,-24.42453,-23.58531,22.02187153,701.9475342
7/1/2021,A,6.65606,6.776849,6.901639,-11.09654,-10.80917,-10.50445,22.38578819,694.6089593
7/1/2021,DL,14.83497,23.47263,24.46204,-39.25303,-38.12493,-27.37701,22.94221528,694.6089593
7/1/2021,UL,11.38266,11.56072,11.82428,-23.48413,-23.17352,-22.95414,22.64278472,694.6089593
7/13/2021,UL,7.710595,8.471512,8.962905,-24.79899,-24.10721,-22.73057,24.76584722,617.8039922
7/14/2021,UL,10.33717,10.58301,10.80278,-26.96324,-26.61814,-26.23075,24.90242014,696.5684612
7/15/2021,UL,9.694042,10.005717,10.326666,-27.10841,-26.59627,-26.05345,24.77593403,701.1022865
